"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"3566","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179889","casent0179889","formicidae","myrmicinae","Crematogaster","sordidula","crematogaster sordidula","","","","","","","point","35.36667","24.25"
"3567","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179890","casent0179890","formicidae","myrmicinae","Crematogaster","scutellaris","crematogaster scutellaris","","","","","","","point","43.91667","15.5"
"3568","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0189645","casent0189645","formicidae","myrmicinae","Crematogaster","tricolor","crematogaster tricolor","","","","2012-12-20","road verges","","point","-12.76667","45.18333"
"3569","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0191124","casent0191124","formicidae","myrmicinae","Crematogaster","tricolor","crematogaster tricolor","","Antsiranana","","2012-12-20","urban/garden on low vegetation","16","point","-13.35967","50.0039"
"3570","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0191124-d01","casent0191124-d01","formicidae","myrmicinae","Crematogaster","tricolor","crematogaster tricolor","","Antsiranana","","2012-12-20","urban/garden on low vegetation","16","point","-13.35967","50.0039"
"3571","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193001","casent0193001","formicidae","myrmicinae","Crematogaster","nosibeensis","crematogaster nosibeensis","","Antsiranana","","2010-12-06","rainforest","600","point","-13.79861","48.16167"
"3572","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193001-d01","casent0193001-d01","formicidae","myrmicinae","Crematogaster","nosibeensis","crematogaster nosibeensis","","Antsiranana","","2010-12-06","rainforest","600","point","-13.79861","48.16167"
"3573","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193008","casent0193008","formicidae","myrmicinae","Crematogaster","kelleri","crematogaster kelleri","","Antsiranana","","2012-12-20","rainforest","780","point","-13.97667","48.42333"
"3574","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193008-d01","casent0193008-d01","formicidae","myrmicinae","Crematogaster","kelleri","crematogaster kelleri","","Antsiranana","","2012-12-20","rainforest","780","point","-13.97667","48.42333"
"3575","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193012","casent0193012","formicidae","myrmicinae","Crematogaster","nosibeensis","crematogaster nosibeensis","","Antsiranana","","2010-12-06","rainforest","400","point","-13.96167","48.43333"
"3576","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193012-d01","casent0193012-d01","formicidae","myrmicinae","Crematogaster","nosibeensis","crematogaster nosibeensis","","Antsiranana","","2010-12-06","rainforest","400","point","-13.96167","48.43333"
"3577","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193015","casent0193015","formicidae","myrmicinae","Crematogaster","sisa","crematogaster sisa","","Antsiranana","","","montane rainforest","1580","point","-14.02167","48.41833"
"3578","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193015-d01","casent0193015-d01","formicidae","myrmicinae","Crematogaster","sisa","crematogaster sisa","","Antsiranana","","","montane rainforest","1580","point","-14.02167","48.41833"
"3579","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193017","casent0193017","formicidae","myrmicinae","Crematogaster","mafybe","crematogaster mafybe","","Antsiranana","","2012-12-20","montane rainforest","1325","point","-14.44333","49.74333"
"3580","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193017-d01","casent0193017-d01","formicidae","myrmicinae","Crematogaster","mafybe","crematogaster mafybe","","Antsiranana","","2012-12-20","montane rainforest","1325","point","-14.44333","49.74333"
"3581","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193019","casent0193019","formicidae","myrmicinae","Crematogaster","kelleri","crematogaster kelleri","","Mahajanga","","2012-12-20","tropical dry forest","30","point","-16.925","44.36833"
